CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
15668,ARMAZEM CORAL LTDA,100,2025-04-03 17:09:42
15668,ARMAZEM CORAL LTDA,100,2025-04-17 15:50:42
15668,ARMAZEM CORAL LTDA,100,2025-04-29 09:42:12
15668,ARMAZEM CORAL LTDA,100,2025-04-29 13:25:24
15668,ARMAZEM CORAL LTDA,100,2025-04-30 00:00:00
20334,ART FABRIL CONFECCOES DE BOLSAS LTDA.,80.31,2025-04-30 00:00:00
16165,ARTE & SABER,100,2025-04-14 09:20:54
16165,ARTE & SABER,100,2025-04-30 00:00:00
16059,ATACADAO MASTERPRINT LTDA,100,2025-04-23 15:30:00
2819,ATACADO GERAL SEQUEIRA FERRAMENTAS LTDA,100,2025-04-08 14:24:12
2819,ATACADO GERAL SEQUEIRA FERRAMENTAS LTDA,100,2025-04-11 00:00:00
15863,ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA,100,2025-04-14 00:00:00
15863,ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA,100,2025-04-14 15:40:03
15863,ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA,93.33333333333333,2025-04-30 00:00:00
20329,ATUAL GESTAO DE SERVICOS TERCEIRIZADOS LTDA,100,2025-04-02 00:00:00
20925,AUSTRAL SEGURADORA S.A.,90,2025-04-17 00:00:00
18670,AUTO POSTO KRON LTDA,98.75,2025-04-08 15:17:28
18670,AUTO POSTO KRON LTDA,100,2025-04-23 00:00:00
16925,AUTO POSTO PRINCIPAL LTDA,100,2025-04-08 13:21:13
16925,AUTO POSTO PRINCIPAL LTDA,100,2025-04-16 11:14:03
16925,AUTO POSTO PRINCIPAL LTDA,100,2025-04-23 09:16:35
16925,AUTO POSTO PRINCIPAL LTDA,100,2025-04-29 08:30:47
3623,AUTO VIACAO 1001 LTDA,91.87,2025-04-30 00:00:00
21128,AVIAT CARGO EXPRESS TRANSPORTES LTDA,100,2025-04-30 00:00:00
20795,AVLA SEGUROS BRASIL S.A.,100,2025-04-24 00:00:00
19094,AZEPLAST INDUSTRIA E COMERCIO LTDA,81.25,2025-04-30 12:05:20
4941,BAMAQ SA BANDEIRANTES MAQUINAS E EQUIPAMENTOS,100,2025-04-30 00:00:00
15695,BARRA BONITA SHOPPING EMPREENDIMENTOS E PARTICIPACOES LTDA.,100,2025-04-23 00:00:00
15695,BARRA BONITA SHOPPING EMPREENDIMENTOS E PARTICIPACOES LTDA.,100,2025-04-24 00:00:00
15878,"BERGAMIN, FRANCA & CIA LTDA",100,2025-04-10 00:00:00
17818,BIOAGRI LABORATORIOS LTDA,100,2025-04-30 00:00:00
20963,BLEST COMERCIO DE COMPONENTES ELETRONICOS LTDA,100,2025-04-09 16:12:01
18787,BMF SOLUCOES TECNICAS E SERVICOS DE ENGENHARIA LTDA,100,2025-04-24 00:00:00
2536,BOA PRAÇA EPI,80,2025-04-25 00:00:00
2536,BOA PRAÇA EPI,88.75,2025-04-28 11:14:53
2536,BOA PRAÇA EPI,92.5,2025-04-29 08:43:41
2536,BOA PRAÇA EPI,88.75,2025-04-30 00:00:00
4718,BONJOUR HOTEL EIRELI,80,2025-04-08 00:00:00
15979,BORIAN COMERCIO DE CONFECCOES E ACESSORIOS LTDA,90.62,2025-04-30 00:00:00
16817,BR AUTO PECAS E SERVICOS LTDA,100,2025-04-30 00:00:00
16835,BR COMERCIO DE PECAS E SERVICOS DE MANUTENCAO EM TRATORES,100,2025-04-29 14:28:58
19667,BRASIL MIX EPI E FERRAMENTAS LTDA,90,2025-04-30 00:00:00
15684,BRAZIL PANOS LTDA,100,2025-04-10 16:26:10
19233,BRINGER DO BRASIL AGENCIAMENTO DE CARGAS NACIONAIS E INTERNACIONAIS LTDA,96.25,2025-04-10 00:00:00
21118,BRINGER DO BRASIL AGENCIAMENTO DE CARGAS NACIONAIS E INTERNACIONAIS LTDA,100,2025-04-17 00:00:00
21118,BRINGER DO BRASIL AGENCIAMENTO DE CARGAS NACIONAIS E INTERNACIONAIS LTDA,92.5,2025-04-30 00:00:00
21295,BRINGER DO BRASIL AGENCIAMENTO DE CARGAS NACIONAIS E INTERNACIONAIS LTDA,38.12,2025-04-30 00:00:00
